language,filename,blank,comment,code,"github.com/AlDanial/cloc v 1.98  T=3.12 s (577.6 files/s 139666.9 lines/s)"
Text,./BlogEngine/BlogEngine.NET/setup/SQLite/Archive/SQLiteUpgradeFrom2.0To2.5.txt,78,0,360
C#,./BlogEngine/BlogEngine.Core/Providers/DbProvider/DbRoleProvider.cs,92,134,359
C#,./BlogEngine/BlogEngine.Core/Web/Extensions/ExtensionSettings.cs,80,319,357
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup1.6.0.sql,28,1,354
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/BlogMLExportHandler.cs,74,116,347
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/toastr.js,54,15,346
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/content/_pages.new.scss,49,9,328
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/content/_posts.new.scss,49,9,328
C#,./BlogEngine/BlogEngine.Core/Providers/FileSystemProviders/DbFileSystemProvider.cs,42,147,327
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup1.5.0.sql,24,1,326
SQL,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLSetup1.4.5.0.sql,24,1,324
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreEclipse.css,3,0,320
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreEclipse.css,3,16,320
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/editor/posteditorController.js,29,5,318
C#,./BlogEngine/BlogEngine.Core/BusinessBase.cs,93,271,314
C#,./BlogEngine/BlogEngine.Core/Providers/XmlProvider/XmlRoleProvider.cs,71,166,312
C#,./BlogEngine/BlogEngine.Core/Services/Security/Security.cs,65,140,312
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreDjango.css,3,0,312
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreDjango.css,3,16,312
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/angular-route.js,81,588,309
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreDefault.css,3,0,309
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreFadeToGrey.css,3,0,309
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreDefault.css,3,16,309
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreFadeToGrey.css,3,16,309
CSS,./BlogEngine/BlogEngine.NET/Scripts/mediaelement/mediaelementplayer.css,34,40,307
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreEmacs.css,2,0,306
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreMDUltra.css,2,0,306
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreMidnight.css,2,0,306
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCoreRDark.css,2,0,306
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreEmacs.css,2,16,306
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreMDUltra.css,2,16,306
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreMidnight.css,2,16,306
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCoreRDark.css,2,16,306
C#,./BlogEngine/BlogEngine.Core/API/MetaWeblog/XMLRPCRequest.cs,66,138,304
C#,./BlogEngine/BlogEngine.NET/Custom/Extensions/AkismetFilter.cs,94,209,303
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/Foaf.cs,74,192,293
C#,./BlogEngine/BlogEngine.Core/Data/UsersRepository.cs,62,47,291
C#,./BlogEngine/BlogEngine.Core/Services/Syndication/BlogML/BlogReader.cs,64,55,289
SVG,./BlogEngine/BlogEngine.NET/fonts/glyphicons-halflings-regular.svg,0,0,288
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/angular-sanitize.js,67,295,285
C#,./BlogEngine/BlogEngine.Core/Web/Extensions/ExtensionManager.cs,53,207,273
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/angular-touch.js,70,279,273
C#,./BlogEngine/BlogEngine.Core/Web/UrlRules.cs,63,148,271
SQL,./BlogEngine/BlogEngine.NET/setup/SQL_CE/Archive/SQL_CE_UpgradeFrom2.0to2.5.sql,4,1,271
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/custom/_widgets.scss,49,6,266
Razor,./BlogEngine/BlogEngine.NET/admin/editors/bootstrap-wysiwyg/editor.cshtml,0,0,260
C#,./BlogEngine/BlogEngine.NET/default.aspx.cs,26,22,260
C#,./BlogEngine/BlogEngine.Core/Providers/XmlProvider/Posts.cs,66,59,258
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/angular-resource.js,63,348,256
C#,./BlogEngine/BlogEngine.Core/Category.cs,61,168,255
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/SyndicationHandler.cs,53,98,249
XML,./BlogEngine/BlogEngine.NET/setup/MySQL/Archive/MySQLWeb.Config,8,52,248
HTML,./BlogEngine/BlogEngine.NET/admin/app/custom/widgets/widgetView.html,1,0,243
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/PingbackHandler.cs,52,143,240
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/dashboard/_dashboard.scss,28,9,240
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/layout/_header.scss,31,7,236
XML,./BlogEngine/BlogEngine.NET/setup/MySQL/MySQLWeb.Config,8,38,236
XML,./BlogEngine/BlogEngine.NET/setup/SQLite/SQLiteWeb.Config,8,38,232
SQL,./BlogEngine/BlogEngine.NET/setup/SQLServer/Archive/MSSQLUpgradeTo1.4.5.0From1.3.x.sql,5,11,230
JavaScript,./BlogEngine/BlogEngine.NET/setup/upgrade/Updater.js,19,5,230
C#,./BlogEngine/BlogEngine.NET/AppCode/Controls/PostPager.cs,46,49,229
C#,./BlogEngine/BlogEngine.Core/Web/Controls/PostViewBase.cs,43,95,227
XML,./BlogEngine/BlogEngine.NET/setup/SQLServer/DbWeb.Config,8,38,226
XML,./BlogEngine/BlogEngine.NET/setup/SQL_CE/SQL_CE_Web.Config,8,38,226
C#,./BlogEngine/BlogEngine.NET/Custom/Extensions/MediaElementPlayer.cs,61,18,225
C#,./BlogEngine/BlogEngine.Core/Referrer.cs,55,106,224
C#,./BlogEngine/BlogEngine.Core/Comment.cs,64,177,222
C#,./BlogEngine/BlogEngine.Core/Services/FileSystem/File.cs,44,158,222
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/editor/pageeditorController.js,27,5,219
XML,./BlogEngine/BlogEngine.NET/Web.Config,9,46,215
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/modules/_filemanager.scss,43,0,213
C#,./BlogEngine/BlogEngine.Core/Data/ViewModels/SettingsVM.cs,4,30,212
C#,./BlogEngine/BlogEngine.NET/AppCode/Controls/MonthList.cs,64,106,211
C#,./BlogEngine/BlogEngine.NET/contact.aspx.cs,39,20,211
C#,./BlogEngine/BlogEngine.Core/Providers/FileSystemProviders/UNCFileSystemProvider.cs,32,121,210
C#,./BlogEngine/BlogEngine.Core/Services/FileSystem/Image.cs,32,97,209
LESS,./BlogEngine/BlogEngine.NET/Content/toastr.less,43,9,209
CSS,./BlogEngine/BlogEngine.NET/Scripts/syntaxhighlighter/styles/shCore.css,1,0,209
CSS,./lib/syntaxhighlighter_3.0.83/styles/shCore.css,1,16,209
C#,./BlogEngine/BlogEngine.Core/Data/ViewModels/DashboardVM.cs,19,44,208
C#,./BlogEngine/BlogEngine.NET/AppCode/App_Start/BlogEngineConfig.cs,36,12,207
C#,./BlogEngine/BlogEngine.NET/AppCode/Controls/PostCalendar.cs,39,57,206
HTML,./lib/syntaxhighlighter_3.0.83/tests/syntaxhighlighter_tests.html,34,2,206
C#,./BlogEngine/BlogEngine.Core/Data/Services/Json.cs,17,41,205
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/custom/_themes.scss,40,3,204
C#,./BlogEngine/BlogEngine.NET/search.aspx.cs,46,12,203
C#,./BlogEngine/BlogEngine.NET/post.aspx.cs,43,23,201
JavaScript,./BlogEngine/BlogEngine.NET/admin/editors/bootstrap-wysiwyg/bootstrap-wysiwyg.js,3,3,198
C#,./BlogEngine/BlogEngine.Core/BlogConfig.cs,59,59,197
C#,./BlogEngine/BlogEngine.Core/Data/SettingsRepository.cs,30,30,197
C#,./BlogEngine/BlogEngine.Core/Data/TrashRepository.cs,33,36,197
C#,./BlogEngine/BlogEngine.Core/Helpers/BlogGenerator.cs,38,33,197
C#,./BlogEngine/BlogEngine.Core/Providers/XmlProvider/Profiles.cs,47,33,196
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/custom/_themes.gallery.scss,37,2,195
Razor,./BlogEngine/BlogEngine.NET/Custom/Widgets/BlogRoll/edit.cshtml,4,2,193
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/app.js,30,13,193
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/dashboard/dashboardController.js,10,0,192
C#,./BlogEngine/BlogEngine.NET/archive.aspx.cs,40,12,192
C#,./BlogEngine/BlogEngine.Core/Data/RolesRepository.cs,38,49,191
C#,./BlogEngine/BlogEngine.Core/Profile.cs,30,66,191
SCSS,./BlogEngine/BlogEngine.NET/Content/toastr.scss,3,5,191
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/custom/widgets/widgetController.js,26,2,190
C#,./BlogEngine/BlogEngine.Core/Web/HttpModules/UrlRewrite.cs,31,42,189
Razor,./BlogEngine/BlogEngine.NET/admin/app/editor/editpost.cshtml,0,1,187
C#,./BlogEngine/BlogEngine.Core/Data/CommentsRepository.cs,31,43,185
C#,./BlogEngine/BlogEngine.Core/Providers/FileSystemProviders/XmlFileSystemProvider.cs,31,123,185
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/settings/controls/blogrollController.js,13,0,185
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/custom/_plugins.gallery.scss,34,2,185
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/custom/themes/themeController.js,20,3,184
C#,./BlogEngine/BlogEngine.Core/Data/CategoryRepository.cs,26,39,182
C#,./BlogEngine/BlogEngine.Core/Data/PostRepository.cs,39,36,182
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/json2.js,117,188,182
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/Apml.cs,51,121,179
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/pages/custom/_plugins.scss,37,3,179
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/custom/plugins/pluginController.js,21,3,177
HTML,./lib/syntaxhighlighter_3.0.83/tests/brushes/sass.html,27,0,177
C#,./BlogEngine/BlogEngine.Core/Providers/XmlProvider/Packaging.cs,38,25,175
C#,./BlogEngine/BlogEngine.Core/Web/Scripting/WebResourceFilter.cs,37,133,175
SCSS,./lib/syntaxhighlighter_3.0.83/compass/shCore.scss,29,12,175
C#,./BlogEngine/BlogEngine.Core/Data/PackageRepository.cs,30,34,174
C#,./BlogEngine/BlogEngine.Core/Web/Extensions/ManagedExtension.cs,39,125,173
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/layout/_sidebar.scss,24,5,173
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/settings/settingController.js,15,0,171
C#,./BlogEngine/BlogEngine.Core/Data/Services/CustomFieldsParser.cs,39,28,170
C#,./BlogEngine/BlogEngine.Core/Web/HttpHandlers/TrackbackHandler.cs,38,93,170
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/common.js,29,5,167
JavaScript,./BlogEngine/BlogEngine.NET/admin/app/grid-helpers.js,21,7,167
C#,./BlogEngine/BlogEngine.NET/AppCode/RazorHelpers.cs,25,17,165
JavaScript,./BlogEngine/BlogEngine.NET/admin/editors/tinymce/plugins/sh4tinymce/plugin.js,11,26,162
C#,./BlogEngine/BlogEngine.Core/Data/LookupsRepository.cs,28,11,161
HTML,./BlogEngine/BlogEngine.NET/admin/app/content/blogs/blogView.html,0,0,160
C#,./BlogEngine/BlogEngine.Core/Web/Controls/BlogBasePage.cs,40,98,158
C#,./BlogEngine/BlogEngine.NET/Custom/Widgets/Newsletter/Newsletter.cs,14,21,158
C#,./BlogEngine/BlogEngine.Core/Data/CommentFilterRepository.cs,22,38,155
C#,./BlogEngine/BlogEngine.Core/RemoteFile.cs,45,89,155
C#,./BlogEngine/BlogEngine.NET/AppCode/Controls/RelatedPosts.cs,43,55,155
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/base/_mixins.scss,21,10,153
SCSS,./BlogEngine/BlogEngine.NET/admin/themes/standard/scss/modules/_editors.scss,29,0,152
C#,./BlogEngine/BlogEngine.Core/Services/Compilation/Design/ServerVariableExpressionEditor.cs,32,171,151
JavaScript,./BlogEngine/BlogEngine.NET/Scripts/angular-aria.js,23,77,150
