FullName,FilePathString,NbLines,NbTypesUsingMe,NbTypesUsed
BlogEngine.Core.Data.Models.Profile,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Profile.cs,70,3,6
BlogEngine.Core.Data.Models.Stats,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Stats.cs,28,3,6
BlogEngine.Core.Data.ViewModels.WidgetItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\ViewModels\WidgetsVM.cs,176,3,6
BlogEngine.Core.Data.Contracts.ICommentFilterRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICommentFilterRepository.cs,52,3,6
BlogEngine.Core.Data.Contracts.ICategoryRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICategoryRepository.cs,46,3,6
BlogEngine.Core.Data.Contracts.ICommentsRepository,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICommentsRepository.cs,50,3,6
BlogEngine.Core.Data.Models.EditorOptions,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\EditorOptions.cs,26,4,6
BlogEngine.Core.Data.Models.JsonResponse,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\JsonResponse.cs,53,4,6
BlogEngine.Core.Data.Models.CommentDetail,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\CommentDetail.cs,40,5,6
BlogEngine.Core.Data.Models.RoleItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\Security.cs,71,5,6
BlogEngine.Core.Web.Extensions.ParameterType,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\ExtensionParameter.cs,260,9,6
BlogEngine.Core.SavedEventArgs,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\SavedEventArgs.cs,60,11,6
BlogEngine.Core.Data.Models.SelectOption,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\SelectOption.cs,26,12,6
BlogEngine.Core.Web.Controls.ExtensionAttribute,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\ExtensionAttribute.cs,192,15,6
BlogEngine.Core.Rights,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Rights.cs,388,41,6
BlogEngine.Core.Packaging.Pager,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\Pager.cs,90,0,7
App_Code.Controls.MobileThemeSwitch,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Controls\MobileThemeSwitch.cs,19,0,7
Account.ChangePasswordSuccess,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Account\change-password-success.aspx.cs,11,0,7
BlogEngine.Core.CustomPrincipal,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\CustomPrincipal.cs,48,1,7
BlogEngine.Core.DataStore.ExtensionSettings,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\ExtensionSettings.cs,23,1,7
BlogEngine.Core.DataStore.ExtensionSettingsBehavior,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\ExtensionSettingsBehavior.cs,57,1,7
BlogEngine.Core.Packaging.PagerItem,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\Pager.cs,90,1,7
BlogEngine.Core.Web.HttpHandlers.Apml+Concept,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\HttpHandlers\Apml.cs,351,1,7
BlogEngine.Core.Web.Controls.SortedExtension,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\ExtensionAttribute.cs,192,1,7
BlogEngine.Core.RightDetailsAttribute,C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Rights.cs,388,2,7
