file,class,lines,used_count,using_me_count
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ICategoryRepository.cs,BlogEngine.Core.Data.Contracts.ICategoryRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IPackageRepository.cs,BlogEngine.Core.Data.Contracts.IPackageRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\IStatsRepository.cs,BlogEngine.Core.Data.Contracts.IStatsRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Contracts\ITagRepository.cs,BlogEngine.Core.Data.Contracts.ITagRepository,,1,3
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Security\Rights.cs,BlogEngine.Core.RightDetailsAttribute,7,1,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Providers\BlogProviderCollection.cs,BlogEngine.Core.Providers.BlogProviderCollection,6,1,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\RazorHelpers.cs,RazorHelpers,69,1,2
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Search\Search.cs,BlogEngine.Core.Entry,0,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Search\Search.cs,BlogEngine.Core.Result,2,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\XmlSafeResolver.cs,BlogEngine.Core.XmlSafeResolver,26,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Service References\GalleryServer\Reference.cs,BlogEngine.Core.GalleryServer.PublishedPackage,119,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Messaging\Ping\Pingback.cs,BlogEngine.Core.Ping.Pingback,47,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Scripting\JavascriptMinifier.cs,BlogEngine.Core.Web.Scripting.JavascriptMinifier,33,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\CommentFormBase.cs,BlogEngine.Core.Web.Controls.CommentFormBase,2,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Controls\RewriteFormHtmlTextWriter.cs,BlogEngine.Core.Web.Controls.RewriteFormHtmlTextWriter,14,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Providers\FileSystemProviders\BlogFileSystemProviderCollection.cs,BlogEngine.Core.Providers.BlogFileSystemProviderCollection,6,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Services\Updater.cs,BlogEngine.Core.Data.Services.Updater,56,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\Recaptcha\RecaptchaValidator.cs,Recaptcha.RecaptchaValidator,44,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\Custom\Extensions\AkismetFilter.cs,Joel.Net.Akismet,41,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\UnhandledExceptionLogger.cs,BlogEngine.NET.AppCode.Api.UnhandledExceptionLogger,3,1,1
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\Pager.cs,BlogEngine.Core.Packaging.Pager,11,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\Common.cs,BlogEngine.Core.FileSystem.FileResponse,7,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\QueryStringExpressionBuilder.cs,BlogEngine.Core.Compilation.QueryStringExpressionBuilder,3,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\ServerVariableExpressionBuilder.cs,BlogEngine.Core.Compilation.ServerVariableExpressionBuilder,3,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Compilation\SessionExpressionBuilder.cs,BlogEngine.Core.Compilation.SessionExpressionBuilder,3,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\SetupController.cs,SetupController,2,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\AppCode\Api\PagerController.cs,PagerController,1,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\FrontPageExample.aspx.cs,BlogEngine.NET.FrontPage,0,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.NET\admin\admin.master.cs,Admin.ExtensionsMasterPage,8,1,0
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Helpers\ServingEventArgs.cs,BlogEngine.Core.ServingEventArgs,13,2,15
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Web\Extensions\DataStore\SettingsBase.cs,BlogEngine.Core.DataStore.SettingsBase,11,2,8
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\RemoteFile.cs,BlogEngine.Core.RemoteFile,51,2,5
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\FileSystem\FileStoreDb.cs,BlogEngine.Core.FileSystem.FileStoreFile,74,2,5
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Data\Models\PostItem.cs,BlogEngine.Core.Data.Models.PostItem,22,2,5
C:\code\BlogEngineDotNet\BlogEngine.NET\BlogEngine\BlogEngine.Core\Services\Packaging\GalleryData.cs,PackageExtra,18,2,4
